track_id,track_name_clean,artists_name_clean,artist_count,streams_clean,release_date,in_spotify_charts,in_apple_charts,in_deezer_charts,charts_total,in_spotify_playlists,in_apple_playlists,in_deezer_playlists,playlists_total,bpm,danceability__,acousticness__,energy__,instrumentalness__,speechiness__,liveness__,valence__,bpm_quartil,bpm_categorizada,danceability_quartil,danceability_categorizada,valence_quartil,valence_categorizada,energy_quartil,energy_categorizada,acousticness_quartil,acousticness_categorizada,instrumentalness_quartil,instrumentalness_categorizada,liveness_quartil,liveness_categorizada,speechiness_quartil,speechiness_categorizada,amount_of_tracks,total_streams
8110201,que vuelvas,carin leon grupo frontera,2,2762,2022-12-09,26,110,9,145,763,21,21,805,162,49,19,64,0,4,11,78,4,Alto,1,Baixo,4,Alto,2,Baixo,3,Baixo,3,Baixo,2,Baixo,1,Baixo,0,0
4576591,mojabi ghost,tainy bad bunny,2,61245289,2023-06-29,40,109,14,163,859,35,41,935,122,81,14,71,0,4,56,74,3,Baixo,4,Alto,4,Alto,3,Baixo,2,Baixo,3,Baixo,4,Alto,1,Baixo,0,0
7021208,apna bana le from bhediya ,arijit singh sachin jigar,2,139836056,2022-11-05,0,101,0,101,86,11,0,97,94,59,80,56,0,3,6,44,1,Baixo,2,Baixo,2,Baixo,2,Baixo,4,Alto,3,Baixo,1,Baixo,1,Baixo,0,0
6271365,abcdario,junior h eden mu ,2,89933133,2023-05-13,5,60,1,66,262,8,4,274,129,70,78,43,0,3,11,42,3,Baixo,3,Baixo,2,Baixo,1,Baixo,4,Alto,2,Baixo,2,Baixo,1,Baixo,0,0
8360758,kiss me more feat sza ,sza doja cat,2,1575467011,2021-04-09,0,65,0,65,15867,382,497,16746,111,77,30,66,0,3,13,74,2,Baixo,3,Baixo,4,Alto,2,Baixo,3,Baixo,1,Baixo,3,Baixo,1,Baixo,0,0
7158907,siempre pendientes,peso pluma luis r conriquez,2,295152154,2022-08-15,5,79,2,86,685,15,4,704,136,77,33,75,1,4,13,71,3,Baixo,3,Baixo,4,Alto,3,Baixo,3,Baixo,4,Alto,3,Baixo,1,Baixo,0,0
7345306,leave the door open,bruno mars anderson paak silk sonic,3,1115880852,2021-03-05,0,123,0,123,14417,237,569,15223,148,59,18,62,0,3,9,72,4,Alto,2,Baixo,4,Alto,2,Baixo,3,Baixo,4,Alto,1,Baixo,1,Baixo,0,0
1166211,snow on the beach feat more lana del rey ,lana del rey taylor swift,2,60350538,2023-05-26,2,0,0,2,359,1,9,369,110,66,81,40,0,3,11,32,2,Baixo,2,Baixo,1,Baixo,1,Baixo,4,Alto,3,Baixo,2,Baixo,1,Baixo,0,0
1839223,mood feat iann dior ,24kgoldn iann dior,2,1699402402,2020-07-24,0,27,0,27,12854,237,636,13727,91,70,22,72,0,4,27,76,1,Baixo,3,Baixo,4,Alto,3,Baixo,3,Baixo,2,Baixo,4,Alto,1,Baixo,0,0
2762640,freaky deaky,tyga doja cat,2,153240879,2022-02-25,0,1,0,1,1729,26,19,1774,104,80,2,65,0,4,9,24,2,Baixo,4,Alto,1,Baixo,2,Baixo,1,Baixo,2,Baixo,1,Baixo,1,Baixo,0,0
2148200,happy xmas war is over ,john lennon the harlem community choir the plastic ono band yoko ono,4,460492795,1971-12-01,0,1,0,1,10829,130,390,11349,147,33,32,61,0,3,77,39,4,Alto,1,Baixo,2,Baixo,2,Baixo,3,Baixo,1,Baixo,4,Alto,1,Baixo,0,0
5074676,shallow,lady gaga bradley cooper,2,2159346687,2018-09-27,12,155,6,173,16636,368,2854,19858,96,57,38,40,0,3,26,30,1,Baixo,2,Baixo,1,Baixo,1,Baixo,3,Baixo,4,Alto,4,Alto,1,Baixo,0,0
3448376,calm down with selena gomez ,r ma selena g,2,899183384,2022-03-25,77,119,38,234,7112,202,318,7632,107,80,43,80,0,4,14,82,2,Baixo,4,Alto,4,Alto,4,Alto,4,Alto,2,Baixo,3,Baixo,1,Baixo,0,0
5282587,snow on the beach feat lana del rey ,taylor swift lana del rey,2,323437194,2022-10-21,0,57,0,57,2415,33,30,2478,110,66,69,32,0,4,12,19,2,Baixo,2,Baixo,1,Baixo,1,Baixo,4,Alto,1,Baixo,2,Baixo,1,Baixo,0,0
1967014,payphone,maroon 5 wiz khalifa,2,1479264469,2012-01-01,4,38,1,43,14143,56,1891,16090,110,74,2,74,0,4,29,51,2,Baixo,3,Baixo,2,Baixo,3,Baixo,1,Baixo,4,Alto,4,Alto,1,Baixo,0,0
6044216,qu ago,yuridia angela aguilar,2,236857112,2022-10-20,15,59,5,79,660,19,18,697,98,73,56,57,0,2,5,88,1,Baixo,3,Baixo,4,Alto,2,Baixo,4,Alto,4,Alto,1,Baixo,1,Baixo,0,0
3647986,otro atardecer,bad bunny the mar ,2,319546754,2022-05-06,7,30,0,37,1681,10,13,1704,108,78,59,60,0,4,7,55,2,Baixo,3,Baixo,3,Baixo,2,Baixo,4,Alto,4,Alto,1,Baixo,1,Baixo,0,0
6145430,here we go again feat tyler the cr,the weeknd tyler the creator,3,88103848,2022-01-07,0,18,0,18,1420,7,7,1434,135,41,36,64,0,3,60,27,3,Baixo,1,Baixo,1,Baixo,2,Baixo,3,Baixo,2,Baixo,4,Alto,1,Baixo,0,0
3225408,lagunas,jasiel nu ez peso p,2,39058561,2023-06-22,18,106,2,126,58,2,4,64,116,77,33,62,1,3,15,79,2,Baixo,3,Baixo,4,Alto,2,Baixo,3,Baixo,4,Alto,3,Baixo,1,Baixo,0,0
3984533,con la brisa,ludwig goransson foudeqush,2,71095708,2022-11-04,0,1,0,1,486,8,7,501,114,62,51,44,33,3,14,25,2,Baixo,2,Baixo,1,Baixo,1,Baixo,4,Alto,4,Alto,3,Baixo,1,Baixo,0,0
1130135,the joker and the queen feat taylor swift ,ed sheeran taylor swift,2,146789379,2022-02-11,0,1,0,1,1430,46,34,1510,134,53,92,31,0,3,28,31,3,Baixo,1,Baixo,1,Baixo,1,Baixo,4,Alto,4,Alto,4,Alto,1,Baixo,0,0
